model,dataset,fit_time-1:5,fit_time-2:5,fit_time-3:5,fit_time-4:5,fit_time-5:5,score_time-1:5,score_time-2:5,score_time-3:5,score_time-4:5,score_time-5:5,test_accuracy-1:5,test_accuracy-2:5,test_accuracy-3:5,test_accuracy-4:5,test_accuracy-5:5,train_accuracy-1:5,train_accuracy-2:5,train_accuracy-3:5,train_accuracy-4:5,train_accuracy-5:5,test_hamming_loss-1:5,test_hamming_loss-2:5,test_hamming_loss-3:5,test_hamming_loss-4:5,test_hamming_loss-5:5,train_hamming_loss-1:5,train_hamming_loss-2:5,train_hamming_loss-3:5,train_hamming_loss-4:5,train_hamming_loss-5:5,test_f1-1:5,test_f1-2:5,test_f1-3:5,test_f1-4:5,test_f1-5:5,train_f1-1:5,train_f1-2:5,train_f1-3:5,train_f1-4:5,train_f1-5:5
stacking_with_f_tests-alpha=0.25,enron,50.90100598335266,49.31499481201172,44.93399691581726,47.676995038986206,39.81217074394226,1.997995376586914,1.904998779296875,2.0559985637664795,1.8929986953735352,1.6000046730041504,0.05571847507331378,0.03519061583577713,0.07352941176470588,0.06470588235294118,0.01764705882352941,0.8809698750918442,0.8831741366642175,0.9111600587371512,0.9030837004405287,0.9280469897209985,-0.0411663807890223,-0.05167930061417584,-0.04794672586015538,-0.05266370699223086,-0.051775804661487235,-0.004810558274298864,-0.004685788751334341,-0.0034355692239492423,-0.0037541905632671154,-0.002826032748732441,0.07018563455046836,0.10143485860017921,0.11066776584584982,0.08719469762527932,0.08367360405388244,0.9336382297126143,0.9321428672615496,0.9503954318986275,0.9419309202430992,0.9250839196107721
stacking_with_f_tests-alpha=0.25,genbase,14.120992660522461,13.896993160247803,13.871991872787476,13.994993925094604,10.513354301452637,1.2009997367858887,1.1929993629455566,1.1949987411499023,1.177997350692749,1.041994571685791,0.9774436090225563,0.924812030075188,0.9772727272727273,0.9848484848484849,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,-0.001113895850737956,-0.00556947925368978,-0.0008417508417508417,-0.0008417508417508417,-0.003367003367003367,-0.0,-0.0,-0.0,-0.0,-0.0,0.6395061728395062,0.5256321654789088,0.6172839506172839,0.7037037037037037,0.6723560177583165,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
stacking_with_f_tests-alpha=0.25,medical,21.84000325202942,21.64700174331665,21.35300087928772,21.495999813079834,17.169734716415405,1.192997694015503,1.175997257232666,1.1600000858306885,1.1959998607635498,1.0399737358093262,0.5714285714285714,0.5051020408163265,0.45918367346938777,0.5641025641025641,0.5948717948717949,1.0,0.9974424552429667,0.9961636828644501,0.9987228607918263,0.9987228607918263,-0.011564625850340135,-0.013492063492063493,-0.015759637188208615,-0.012763532763532764,-0.011965811965811967,-0.0,-8.525149190110827e-05,-8.525149190110827e-05,-2.8380871292748687e-05,-5.676174258549737e-05,0.22442638346990976,0.20662095346915382,0.2113220890682775,0.2912971315650678,0.23877596107695015,0.9555555555555556,0.9768394644297422,0.9323498894165962,0.9554521963824291,0.9326112998244146
stacking_with_f_tests-alpha=0.50,birds,10.248988628387451,10.393999099731445,10.576999187469482,10.36300015449524,9.224026679992676,0.44100093841552734,0.44500088691711426,0.44300222396850586,0.44100046157836914,0.40800046920776367,0.5038759689922481,0.4728682170542636,0.6046511627906976,0.5271317829457365,0.4806201550387597,1.0,1.0,1.0,1.0,1.0,-0.044471644226846185,-0.04365565075479396,-0.03590371277029784,-0.037535699714402286,-0.046103631170950635,-0.0,-0.0,-0.0,-0.0,-0.0,0.2202126528442318,0.16819142329978243,0.20988879541511118,0.19245286368856163,0.20427497964512006,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,emotions,3.369999885559082,3.3589978218078613,3.419999122619629,3.3539986610412598,2.915030002593994,0.13499999046325684,0.13700079917907715,0.13200163841247559,0.13200020790100098,0.12396812438964844,0.3445378151260504,0.2689075630252101,0.29411764705882354,0.288135593220339,0.3220338983050847,1.0,1.0,1.0,1.0,1.0,-0.18067226890756302,-0.19187675070028012,-0.18907563025210083,-0.19915254237288135,-0.18785310734463276,-0.0,-0.0,-0.0,-0.0,-0.0,0.6095731492150929,0.5796626249936946,0.6452450669916797,0.6700005519852431,0.6623280001168094,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,scene,27.017998695373535,25.727999210357666,25.41600012779236,26.98600149154663,22.66102933883667,0.2850046157836914,0.29600048065185547,0.28600001335144043,0.28099870681762695,0.26999783515930176,0.529045643153527,0.5435684647302904,0.3492723492723493,0.681912681912682,0.288981288981289,0.9989610389610389,0.9994805194805195,0.9989615784008308,0.9994807892004154,1.0,-0.09923928077455048,-0.09820193637621023,-0.1327096327096327,-0.06306306306306306,-0.13894663894663895,-0.00017316017316017316,-8.658008658008658e-05,-0.00017307026652821047,-8.653513326410523e-05,-0.0,0.4933093740280558,0.3628430155466134,0.3917477472979258,0.45468797674680034,0.25555357651752636,0.9996399483655855,0.9996605566870332,0.9996326344910998,0.9998361193051458,1.0
stacking_with_f_tests-alpha=0.50,yeast,57.97499656677246,57.986995697021484,58.19999623298645,58.32399868965149,53.18902850151062,0.5540025234222412,0.5480024814605713,0.5600016117095947,0.5620033740997314,0.5110006332397461,0.18181818181818182,0.1797520661157025,0.16770186335403728,0.18426501035196688,0.19668737060041408,0.999482669425763,0.999482669425763,1.0,1.0,1.0,-0.19569067296340023,-0.19495277449822904,-0.19165927240461403,-0.1953564034309376,-0.18870156758355516,-3.6952183874066954e-05,-3.6952183874066954e-05,-0.0,-0.0,-0.0,0.3664566216504069,0.3542510319932836,0.35413562591564846,0.36689604606826054,0.36149341955513653,0.9997263273125342,0.9999085421620633,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.50,enron,50.905001401901245,48.99300575256348,44.383999824523926,47.224003314971924,38.9001784324646,1.8420019149780273,1.9019968509674072,2.3139991760253906,1.900996446609497,1.5890297889709473,0.10850439882697947,0.03812316715542522,0.07352941176470588,0.06470588235294118,0.023529411764705882,0.8831741366642175,0.8897869213813373,0.9155653450807636,0.906754772393539,0.9317180616740088,-0.04094505616112433,-0.0526752614397167,-0.048890122086570474,-0.05366259711431742,-0.05033296337402886,-0.004824421554628256,-0.004727378592322516,-0.0034771285290776605,-0.0037541905632671154,-0.0028537389521513866,0.07640943801234157,0.0977200736650982,0.10397264766490227,0.08055675232331382,0.10144482333564064,0.9338050421034388,0.9322582051934232,0.9492727632407605,0.9431719413466328,0.9248735625969131
stacking_with_f_tests-alpha=0.50,genbase,14.212987184524536,14.171989440917969,14.276990413665771,14.166988134384155,10.490033864974976,1.1940011978149414,1.1720006465911865,1.1769976615905762,1.1739978790283203,1.0299654006958008,0.9774436090225563,0.924812030075188,0.9772727272727273,0.9848484848484849,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,-0.001113895850737956,-0.00556947925368978,-0.0008417508417508417,-0.0008417508417508417,-0.003367003367003367,-0.0,-0.0,-0.0,-0.0,-0.0,0.6395061728395062,0.5256321654789088,0.6172839506172839,0.7037037037037037,0.6723560177583165,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
stacking_with_f_tests-alpha=0.50,medical,21.77500009536743,21.538000345230103,21.447999715805054,21.59000039100647,17.329707145690918,1.2009999752044678,1.2049987316131592,1.1769993305206299,1.1789989471435547,1.033998727798462,0.5663265306122449,0.4897959183673469,0.45918367346938777,0.5641025641025641,0.5846153846153846,1.0,0.9974424552429667,0.9974424552429667,0.9987228607918263,0.9987228607918263,-0.011904761904761904,-0.013945578231292517,-0.016099773242630386,-0.012877492877492878,-0.012307692307692308,-0.0,-8.525149190110827e-05,-8.525149190110827e-05,-2.8380871292748687e-05,-5.676174258549737e-05,0.21656023645137717,0.21771100359335652,0.20289033175544277,0.2771655672135823,0.23343870688698276,0.9555555555555556,0.9768394644297422,0.9323511741237632,0.9554531490015361,0.9326112998244146
stacking_with_f_tests-alpha=0.75,birds,10.226996898651123,10.219995260238647,10.545999765396118,10.359006643295288,9.21103286743164,0.45400118827819824,0.4380009174346924,0.4440007209777832,0.4429962635040283,0.4089944362640381,0.5038759689922481,0.46511627906976744,0.6124031007751938,0.5348837209302325,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,-0.044063647490820076,-0.044879640962872294,-0.03386372909016728,-0.037943696450428395,-0.04569563443492452,-0.0,-0.0,-0.0,-0.0,-0.0,0.24043944359733835,0.14848012967668514,0.23409509120573868,0.1864339703012472,0.2059918605290656,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,emotions,3.3409721851348877,3.36099910736084,3.386995315551758,3.3409979343414307,2.9010300636291504,0.13500022888183594,0.14600014686584473,0.1550002098083496,0.13200139999389648,0.12499761581420898,0.3445378151260504,0.2605042016806723,0.3025210084033613,0.3305084745762712,0.3389830508474576,1.0,1.0,1.0,1.0,1.0,-0.16806722689075632,-0.19467787114845939,-0.18207282913165265,-0.18785310734463276,-0.19915254237288135,-0.0,-0.0,-0.0,-0.0,-0.0,0.6443008440834528,0.593186893515841,0.6661083309037054,0.7045010843129909,0.6477087326158534,1.0,1.0,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,scene,27.20099639892578,25.756996631622314,25.72999882698059,27.148996591567993,22.586028814315796,0.28100037574768066,0.2890005111694336,0.2889986038208008,0.2800016403198242,0.26999950408935547,0.5352697095435685,0.529045643153527,0.3596673596673597,0.6715176715176715,0.2972972972972973,0.9989610389610389,0.9994805194805195,0.9989615784008308,0.9994807892004154,1.0,-0.09854771784232365,-0.10442600276625173,-0.13305613305613306,-0.06444906444906445,-0.14067914067914067,-0.00017316017316017316,-8.658008658008658e-05,-0.00017307026652821047,-8.653513326410523e-05,-0.0,0.47986224390036925,0.3602547121347827,0.3850703573113285,0.4534524743475982,0.25722121937226256,0.9996404075637613,0.9996619337390129,0.9996326344910998,0.9998357963875205,1.0
stacking_with_f_tests-alpha=0.75,yeast,56.87799644470215,56.81799626350403,56.92999768257141,57.349995851516724,51.72602820396423,0.5480096340179443,0.5560014247894287,0.5460000038146973,0.5529999732971191,0.5210018157958984,0.19008264462809918,0.2066115702479339,0.17184265010351968,0.20910973084886128,0.19461697722567287,1.0,0.999482669425763,1.0,1.0,1.0,-0.19539551357733176,-0.1909681227863046,-0.1888494528246081,-0.19432120674356698,-0.1909198461993493,-0.0,-3.6952183874066954e-05,-0.0,-0.0,-0.0,0.3684845404319024,0.3636231914305435,0.3595094139351071,0.37216317957694095,0.3649097310645596,1.0,0.9997493734335839,1.0,1.0,1.0
stacking_with_f_tests-alpha=0.75,enron,50.31800079345703,48.63900089263916,44.23300099372864,46.781001329422,38.71967554092407,1.842003345489502,1.9230003356933594,2.104001760482788,1.9000003337860107,1.5980019569396973,0.10850439882697947,0.03812316715542522,0.08235294117647059,0.07352941176470588,0.03235294117647059,0.8897869213813373,0.896399706098457,0.9148311306901615,0.9074889867841409,0.9302496328928047,-0.04144303657389476,-0.052011287556022794,-0.048224195338512764,-0.05316315205327414,-0.05083240843507214,-0.004893737956275214,-0.004796694993969473,-0.003504834732496606,-0.003768043664976588,-0.002881445155570332,0.08366537767301802,0.10015935640703282,0.09683259139443025,0.08642636731608111,0.10143209838973753,0.9338452161803666,0.9306540780688468,0.9495807329105448,0.9428926671479628,0.9248025036128978
stacking_with_f_tests-alpha=0.75,genbase,14.151003360748291,14.102003335952759,13.997000217437744,14.05300235748291,10.506989479064941,1.1819982528686523,1.1939971446990967,1.1700000762939453,1.182997465133667,1.0349996089935303,0.9774436090225563,0.924812030075188,0.9772727272727273,0.9848484848484849,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,-0.001113895850737956,-0.00556947925368978,-0.0008417508417508417,-0.0008417508417508417,-0.0030864197530864196,-0.0,-0.0,-0.0,-0.0,-0.0,0.6395061728395062,0.5256321654789088,0.6172839506172839,0.7037037037037037,0.6728925704075452,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
stacking_with_f_tests-alpha=0.75,medical,21.730997323989868,21.431991815567017,21.33799648284912,21.433998346328735,17.296066522598267,1.1950006484985352,1.193000078201294,1.1829988956451416,1.1810011863708496,1.0340328216552734,0.5663265306122449,0.5408163265306123,0.46938775510204084,0.5538461538461539,0.6051282051282051,1.0,0.9974424552429667,0.9974424552429667,0.9987228607918263,0.9987228607918263,-0.012131519274376418,-0.013378684807256236,-0.015646258503401362,-0.013105413105413105,-0.011851851851851851,-0.0,-8.525149190110827e-05,-8.525149190110827e-05,-2.8380871292748687e-05,-5.676174258549737e-05,0.21969720817566235,0.2084970184181088,0.20635474633758386,0.2737821243084401,0.2416685004404303,0.9555555555555556,0.9768394644297422,0.9323993270633643,0.9554531490015361,0.9326112998244146
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,8.55399751663208,8.649998903274536,8.815995216369629,8.690000772476196,7.706032752990723,0.20299935340881348,0.19300079345703125,0.19600176811218262,0.19300055503845215,0.17599964141845703,0.4806201550387597,0.4883720930232558,0.5891472868217055,0.5271317829457365,0.4806201550387597,1.0,1.0,1.0,1.0,1.0,-0.04365565075479396,-0.042839657282741736,-0.03671970624235006,-0.03712770297837617,-0.04773561811505508,-0.0,-0.0,-0.0,-0.0,-0.0,0.2330986778899665,0.20792313764910486,0.20355334977760606,0.24041507691393274,0.19736742863593568,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,2.5489985942840576,2.5579991340637207,2.549997568130493,2.551999092102051,2.2339978218078613,0.06300020217895508,0.06299996376037598,0.06400012969970703,0.059999704360961914,0.05803084373474121,0.33613445378151263,0.31092436974789917,0.31092436974789917,0.3135593220338983,0.3135593220338983,1.0,1.0,1.0,1.0,1.0,-0.18067226890756302,-0.1876750700280112,-0.1876750700280112,-0.1850282485875706,-0.2019774011299435,-0.0,-0.0,-0.0,-0.0,-0.0,0.6054367864880519,0.6249070936666773,0.6450829811629063,0.6864262455493639,0.6384620509590812,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,15.859996557235718,15.020997762680054,15.160000324249268,15.823999643325806,13.670029401779175,0.09400081634521484,0.0950005054473877,0.10200023651123047,0.09099936485290527,0.08799624443054199,0.553941908713693,0.5394190871369294,0.367983367983368,0.6735966735966736,0.3180873180873181,0.9989610389610389,0.9994805194805195,0.9984423676012462,0.9994807892004154,1.0,-0.09266943291839558,-0.0995850622406639,-0.13097713097713098,-0.062370062370062374,-0.1379071379071379,-0.00017316017316017316,-8.658008658008658e-05,-0.00025960539979231567,-8.653513326410523e-05,-0.0,0.4922116259144929,0.35957998922125656,0.38932701285642457,0.4547676693005413,0.26334958979497614,0.9996404075637613,0.9996605566870332,0.9992647169046392,0.9998361193051458,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,25.650999069213867,25.43499755859375,25.6329984664917,25.597997188568115,23.542989492416382,0.23399996757507324,0.23201203346252441,0.23200035095214844,0.23100066184997559,0.21203064918518066,0.22727272727272727,0.2190082644628099,0.2111801242236025,0.2153209109730849,0.2153209109730849,1.0,1.0,1.0,1.0,1.0,-0.198642266824085,-0.1928866587957497,-0.18825791186039634,-0.19757468204673173,-0.1922508133688258,-0.0,-0.0,-0.0,-0.0,-0.0,0.36381090236490526,0.3682225490504856,0.38057683281880866,0.367672176910743,0.37140591829101277,1.0,1.0,1.0,1.0,1.0
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,40.812005043029785,40.77600026130676,40.82600736618042,40.522998094558716,30.90348529815674,0.9509930610656738,0.9459989070892334,0.9449920654296875,0.9249999523162842,0.7400012016296387,0.05278592375366569,0.03225806451612903,0.06470588235294118,0.07352941176470588,0.020588235294117647,0.9147685525349009,0.9191770756796473,0.9383259911894273,0.9309838472834068,0.947136563876652,-0.04465224367841532,-0.0526752614397167,-0.04844617092119867,-0.05277469478357381,-0.05133185349611543,-0.004921464516933997,-0.004879874675945822,-0.003504834732496606,-0.0039065746820713156,-0.002895298257279805,0.07500356322843499,0.10545575434663206,0.10439199891020319,0.08783059503910055,0.09142633267241185,0.9356193138059973,0.9347398237619478,0.9505002274312936,0.9444853881579414,0.9254617673335802
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,10.33600115776062,10.266000986099243,10.327000379562378,10.279001712799072,8.116027355194092,0.31100010871887207,0.31999921798706055,0.3080008029937744,0.332000732421875,0.2720065116882324,0.9774436090225563,0.9097744360902256,0.9848484848484849,0.9772727272727273,0.9242424242424242,1.0,1.0,1.0,1.0,1.0,-0.000835421888053467,-0.006126427179058758,-0.0005611672278338945,-0.001122334455667789,-0.0028058361391694723,-0.0,-0.0,-0.0,-0.0,-0.0,0.6469135802469137,0.510817350664094,0.6296296296296297,0.6666666666666666,0.6780366033293561,1.0,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.8888888888888888
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,23.193967819213867,23.06099796295166,22.878997325897217,22.932995557785034,17.72733998298645,0.6390013694763184,0.6180012226104736,0.6050002574920654,0.6120014190673828,0.5159976482391357,0.5816326530612245,0.5102040816326531,0.4744897959183674,0.5897435897435898,0.5897435897435898,1.0,0.9974424552429667,0.9974424552429667,0.9987228607918263,0.9987228607918263,-0.011564625850340135,-0.014058956916099773,-0.016099773242630386,-0.012421652421652421,-0.011623931623931624,-0.0,-8.525149190110827e-05,-8.525149190110827e-05,-2.8380871292748687e-05,-5.676174258549737e-05,0.22847331845424562,0.20474625679831895,0.2077865826139737,0.28263763379602624,0.23154008172423662,0.9555555555555556,0.9768394644297422,0.9323511741237632,0.9554531490015361,0.9326112998244146
