model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
classifier_chain_with_f_test_ordering-ascending_chain=True,tmc2007_500,0.2775,0.0474,-0.0655,0.0083,0.434,0.0661
classifier_chain_with_lop-num_generations=10,birds,0.4979,0.0627,-0.0504,0.0098,0.2794,0.0655
classifier_chain_with_lop-num_generations=10,emotions,0.3237,0.0371,-0.2128,0.0217,0.6394,0.0335
classifier_chain_with_lop-num_generations=10,scene,0.5468,0.1391,-0.1417,0.0505,0.2705,0.0483
classifier_chain_with_lop-num_generations=10,yeast,0.2474,0.0225,-0.2143,0.0094,0.4186,0.0179
classifier_chain_with_lop-num_generations=10,enron,0.0458,0.0259,-0.0662,0.0081,0.0659,0.0202
classifier_chain_with_lop-num_generations=10,genbase,0.9425,0.0358,-0.0029,0.0019,0.5158,0.1036
classifier_chain_with_lop-num_generations=10,medical,0.5114,0.0583,-0.017,0.0027,0.1779,0.0236
classifier_chain_with_lop-num_generations=10,tmc2007_500,0.2744,0.0468,-0.0656,0.0082,0.4287,0.066
classifier_chain_with_lop-num_generations=25,birds,0.4979,0.0679,-0.0533,0.0104,0.273,0.0566
classifier_chain_with_lop-num_generations=25,emotions,0.3219,0.0486,-0.2159,0.0223,0.6353,0.0349
classifier_chain_with_lop-num_generations=25,scene,0.5468,0.1403,-0.1418,0.0501,0.2739,0.0432
classifier_chain_with_lop-num_generations=25,yeast,0.2482,0.0249,-0.21,0.0078,0.4305,0.0172
classifier_chain_with_lop-num_generations=25,enron,0.0587,0.0441,-0.0669,0.0095,0.0637,0.0208
classifier_chain_with_lop-num_generations=25,genbase,0.9425,0.0358,-0.003,0.002,0.5142,0.1038
classifier_chain_with_lop-num_generations=25,medical,0.5154,0.0618,-0.0171,0.0026,0.1782,0.0223
classifier_chain_with_lop-num_generations=25,tmc2007_500,0.2767,0.0453,-0.0658,0.0081,0.4267,0.0631
classifier_chain_with_lop-num_generations=50,birds,0.4963,0.0638,-0.0516,0.0084,0.2781,0.0654
classifier_chain_with_lop-num_generations=50,emotions,0.3254,0.0438,-0.2136,0.0232,0.6374,0.0364
classifier_chain_with_lop-num_generations=50,scene,0.5452,0.1386,-0.1424,0.0503,0.2728,0.0432
classifier_chain_with_lop-num_generations=50,yeast,0.247,0.0245,-0.2096,0.006,0.431,0.0162
classifier_chain_with_lop-num_generations=50,enron,0.0652,0.052,-0.0659,0.0098,0.0657,0.0192
classifier_chain_with_lop-num_generations=50,genbase,0.9425,0.0358,-0.0029,0.0019,0.5158,0.1036
classifier_chain_with_lop-num_generations=50,medical,0.5144,0.0506,-0.0171,0.0024,0.181,0.0214
classifier_chain_with_lop-num_generations=50,tmc2007_500,0.274,0.0481,-0.0658,0.0084,0.4244,0.0636
partial_classifier_chain_with_lop-num_generations=10,birds,0.5103,0.0615,-0.0466,0.0071,0.2861,0.0641
partial_classifier_chain_with_lop-num_generations=10,emotions,0.3202,0.045,-0.2182,0.0297,0.6311,0.0341
partial_classifier_chain_with_lop-num_generations=10,scene,0.5423,0.139,-0.1409,0.0505,0.2722,0.0425
partial_classifier_chain_with_lop-num_generations=10,yeast,0.2441,0.0277,-0.208,0.0083,0.4268,0.0171
partial_classifier_chain_with_lop-num_generations=10,enron,0.0423,0.0264,-0.0649,0.0093,0.0654,0.0188
partial_classifier_chain_with_lop-num_generations=10,genbase,0.944,0.0353,-0.0028,0.0018,0.5206,0.1065
partial_classifier_chain_with_lop-num_generations=10,medical,0.4807,0.0616,-0.0171,0.0028,0.1701,0.0239
partial_classifier_chain_with_lop-num_generations=10,tmc2007_500,0.2705,0.0484,-0.065,0.0084,0.4261,0.065
partial_classifier_chain_with_lop-num_generations=25,birds,0.501,0.0623,-0.048,0.0075,0.2739,0.0638
partial_classifier_chain_with_lop-num_generations=25,emotions,0.3219,0.0484,-0.2162,0.0239,0.6335,0.0283
partial_classifier_chain_with_lop-num_generations=25,scene,0.5418,0.1387,-0.1413,0.0501,0.2727,0.0418
