model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
partial_classifier_chain_with_lop-num_generations=25,scene,0.541,0.1388,-0.141,0.0496,0.2737,0.0421
partial_classifier_chain_with_lop-num_generations=25,yeast,0.2387,0.0256,-0.2136,0.01,0.4213,0.0156
partial_classifier_chain_with_lop-num_generations=25,enron,0.0359,0.0211,-0.0644,0.009,0.065,0.0203
partial_classifier_chain_with_lop-num_generations=25,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
partial_classifier_chain_with_lop-num_generations=25,medical,0.491,0.0584,-0.0167,0.003,0.1717,0.0224
partial_classifier_chain_with_lop-num_generations=25,tmc2007_500,0.2682,0.0476,-0.0654,0.0084,0.4251,0.0647
partial_classifier_chain_with_lop-num_generations=50,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
partial_classifier_chain_with_lop-num_generations=50,emotions,0.1803,0.0366,-0.2713,0.0156,0.4817,0.0285
partial_classifier_chain_with_lop-num_generations=50,scene,0.5414,0.1389,-0.1414,0.0501,0.2729,0.0421
partial_classifier_chain_with_lop-num_generations=50,yeast,0.2408,0.0189,-0.2114,0.0101,0.4215,0.0156
partial_classifier_chain_with_lop-num_generations=50,enron,0.0406,0.0226,-0.0642,0.009,0.0648,0.0191
partial_classifier_chain_with_lop-num_generations=50,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
partial_classifier_chain_with_lop-num_generations=50,medical,0.4909,0.0566,-0.017,0.0025,0.1702,0.027
partial_classifier_chain_with_lop-num_generations=50,tmc2007_500,0.2698,0.0471,-0.0654,0.0084,0.4244,0.0642
classifier_chain_with_genetic_algorithm-num_generations=5,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
classifier_chain_with_genetic_algorithm-num_generations=5,emotions,0.1871,0.0319,-0.2702,0.0126,0.4849,0.0233
classifier_chain_with_genetic_algorithm-num_generations=5,scene,0.5771,0.1265,-0.1299,0.0448,0.2766,0.045
classifier_chain_with_genetic_algorithm-num_generations=5,yeast,0.2433,0.0254,-0.2125,0.0102,0.4339,0.0152
classifier_chain_with_genetic_algorithm-num_generations=5,enron,0.061,0.0627,-0.0652,0.0104,0.0674,0.0178
classifier_chain_with_genetic_algorithm-num_generations=5,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
classifier_chain_with_genetic_algorithm-num_generations=5,medical,0.5114,0.054,-0.017,0.0025,0.1806,0.021
